Constituency,PTI,PML-N,PPPP,MMA,TLP,PML-Q,Ch.Nissar,ANP,IND,QWP,AML,PML-Z,Pakistan Awami Raj,Other parties
NA-1,30,32,0,26,0,0,0,0,0,0,0,0,0,12
NA-2,45,38,0,0,0,0,0,0,0,0,0,0,0,17
NA-3,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-4,50,0,0,38,0,0,0,0,0,0,0,0,0,12
NA-5,26,0,28,41,0,0,0,0,0,0,0,0,0,12
NA-6,18,0,32,36,0,0,0,0,0,0,0,0,0,14
NA-7,37,0,0,43,0,0,0,0,0,0,0,0,0,20
NA-8,51,0,0,38,0,0,0,0,0,0,0,0,0,11
NA-9,39,0,0,0,0,0,0,31,0,0,0,0,0,30
NA-10,40,35,0,0,0,0,0,0,0,0,0,0,0,25
NA-11,30,0,0,42,0,0,0,0,0,0,0,0,0,28
NA-12,51,0,0,29,0,0,0,0,0,0,0,0,0,20
NA-13,0,38,0,0,0,0,0,0,45,0,0,0,0,11
NA-14,46,0,0,0,0,0,0,0,39,0,0,0,0,15
NA-15,43,43,0,0,0,0,0,0,0,0,0,0,0,14
NA-16,66,28,0,0,0,0,0,0,0,0,0,0,0,6
NA-17,55,39,0,0,0,0,0,0,0,0,0,0,0,6
NA-18,53,31,0,0,0,0,0,0,0,0,0,0,0,16
NA-19,50,0,0,15,0,0,0,20,0,0,0,0,0,15
NA-20,37,0,27,0,0,0,0,0,0,0,0,0,0,36
NA-21,48,0,0,0,0,0,0,48,0,0,0,0,0,4
NA-22,38,0,0,32,0,0,0,8,0,0,0,0,0,22
NA-23,27,0,0,20,0,0,0,0,0,39,0,0,0,14
NA-24,45,0,0,18,0,0,0,25,0,0,0,0,0,12
NA-25,51,24,0,0,0,0,0,0,0,0,0,0,0,25
NA-26,48,0,0,0,0,0,0,30,0,0,0,0,0,22
NA-27,41,0,0,25,0,0,0,0,0,0,0,0,0,34
NA-28,46,0,0,32,0,0,0,0,0,0,0,0,0,22
NA-29,56,23,0,0,0,0,0,0,0,0,0,0,0,21
NA-30,39,0,0,36,0,0,0,0,0,0,0,0,0,25
NA-31,45,0,0,0,0,0,0,39,0,0,0,0,0,16
NA-32,52,0,0,35,0,0,0,0,0,0,0,0,0,13
NA-33,40,0,0,38,0,0,0,0,0,0,0,0,0,22
NA-34,43,0,0,34,0,0,0,0,0,0,0,0,0,23
NA-35,54,0,0,0,0,0,0,44,0,0,0,0,0,2
NA-36,45,0,0,43,0,0,0,0,0,0,0,0,0,12
NA-37,40,0,0,33,0,0,0,0,0,0,0,0,0,27
NA-38,36,0,0,39,0,0,0,0,12,0,0,0,0,25
NA-39,42,0,0,47,0,0,0,0,0,0,0,0,0,11
NA-52,42,50,0,0,0,0,0,0,8,0,0,0,0,0
NA-53,46,41,0,0,0,0,0,0,0,0,0,0,0,13
NA-54,52,43,0,0,0,0,0,0,0,0,0,0,0,5
NA-55,62,34,0,0,0,0,0,0,0,0,0,0,0,4
NA-56,34,19,0,0,13,0,0,0,0,0,0,0,0,34
NA-57,34,46,12,0,0,0,0,0,0,0,0,0,0,8
NA-58,32,35,33,0,0,0,0,0,0,0,0,0,0,8
NA-59,24,21,0,0,0,0,53,0,0,0,0,0,0,2
NA-60,52,46,0,0,0,0,0,0,0,0,0,0,0,2
NA-61,57,36,0,0,0,0,0,0,0,0,0,0,0,7
NA-62,0,35,0,0,0,0,0,0,0,0,58,0,0,7
NA-63,38,29,0,0,0,0,31,0,0,0,0,0,0,2
NA-64,54,38,0,0,0,0,0,0,0,0,0,0,0,8
NA-65,0,32,0,0,0,40,0,0,0,0,0,0,0,28
NA-66,34,26,0,0,0,0,0,0,0,0,0,0,0,40
NA-67,42,56,0,0,0,0,0,0,0,0,0,0,0,2
NA-68,48,41,0,0,0,0,0,0,0,0,0,0,0,11
NA-69,0,33,0,0,0,43,0,0,0,0,0,0,0,24
NA-70,38,41,18,0,0,0,0,0,0,0,0,0,0,3
NA-71,43,32,0,0,10,0,0,0,15,0,0,0,0,0
NA-72,41,52,6,0,0,0,0,0,0,0,0,0,0,1
NA-73,49,49,0,0,0,0,0,0,0,0,0,0,0,2
NA-74,60,29,0,0,0,0,0,0,0,0,0,0,0,11
NA-75,40,46,0,0,0,0,0,0,0,0,0,0,0,14
NA-76,40,45,0,0,0,0,0,0,0,0,0,0,0,15
NA-77,28,26,0,0,0,0,0,0,30,0,0,0,0,16
NA-78,24,67,0,0,0,0,0,0,0,0,0,0,0,9
NA-79,45,43,0,0,0,0,0,0,0,0,0,0,0,12
NA-80,36,38,0,0,0,0,0,0,0,0,0,0,0,26
NA-81,40,53,0,0,0,0,0,0,0,0,0,0,0,7
NA-82,35,39,10,0,0,0,0,0,0,0,0,0,0,16
NA-83,44,44,0,0,0,0,0,0,0,0,0,0,0,12
NA-84,42,40,0,0,0,0,0,0,0,0,0,0,0,18
NA-85,42,38,0,0,0,0,0,0,0,0,0,0,0,20
NA-86,35,43,0,0,0,0,0,0,0,0,0,0,0,22
NA-87,38,50,0,0,10,0,0,0,0,0,0,0,0,2
NA-88,44,41,0,0,0,0,0,0,0,0,0,0,0,15
NA-89,40,50,0,0,0,0,0,0,0,0,0,0,0,10
NA-90,48,42,0,0,0,0,0,0,0,0,0,0,0,10
NA-91,48,39,0,0,0,0,0,0,0,0,0,0,0,13
NA-92,28,34,0,0,0,0,0,0,11,0,0,0,0,27
NA-93,35,39,0,0,0,0,0,0,11,0,0,0,0,16
NA-94,35,42,0,0,0,0,0,0,0,0,0,0,0,23
NA-95,55,40,0,0,0,0,0,0,0,0,0,0,0,5
NA-96,51,26,0,0,0,0,0,0,0,0,0,0,0,23
NA-97,40,45,0,0,0,0,0,0,0,0,0,0,0,15
NA-98,42,0,0,0,0,0,0,0,40,0,0,0,0,18
NA-99,39,34,0,0,0,0,0,0,0,0,0,0,0,27
NA-100,33,54,0,0,0,0,0,0,0,0,0,0,0,13
NA-101,50,0,44,0,0,0,0,0,0,0,0,0,0,6
NA-102,60,35,0,0,0,0,0,0,0,0,0,0,0,5
NA-103,43,48,0,0,0,0,0,0,0,0,0,0,0,9
NA-104,40,43,0,0,0,0,0,0,0,0,0,0,0,17
NA-105,25,20,0,0,0,0,0,0,45,0,0,0,0,10
NA-106,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-107,38,30,0,0,0,0,0,0,0,0,0,0,0,32
NA-108,37,58,0,0,0,0,0,0,0,0,0,0,0,5
NA-109,45,39,0,0,0,0,0,0,0,0,0,0,0,16
NA-110,35,45,0,0,0,0,0,0,0,0,0,0,0,20
NA-111,44,34,0,0,0,0,0,0,0,0,0,0,0,22
NA-112,46,38,0,0,0,0,0,0,0,0,0,0,0,16
NA-113,51,38,0,0,0,0,0,0,0,0,0,0,0,0
NA-114,35,0,40,0,0,0,0,0,0,0,0,0,0,25
NA-115,37,0,0,0,0,0,0,0,40,0,0,0,0,23
NA-116,40,0,0,0,0,0,0,0,35,0,0,0,0,25
NA-117,34,45,0,0,0,0,0,0,0,0,0,0,0,21
NA-118,38,20,10,0,0,0,0,0,0,0,0,0,0,0
NA-119,45,40,0,0,0,0,0,0,0,0,0,0,0,15
NA-120,41,44,0,0,15,0,0,0,0,0,0,0,0,0
NA-121,25,46,15,0,0,0,0,0,0,0,0,0,0,14
NA-122,26,42,0,0,13,0,0,0,0,0,0,0,0,19
NA-123,46,40,0,0,0,0,0,0,0,0,0,0,0,14
NA-124,21,42,0,0,11,0,0,0,0,0,0,0,0,26
NA-125,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-126,34,58,0,0,0,0,0,0,0,0,0,0,0,8
NA-127,40,50,0,0,0,0,0,0,0,0,0,0,0,10
NA-128,45,47,0,0,0,0,0,0,0,0,0,0,0,8
NA-129,45,47,0,0,0,0,0,0,0,0,0,0,0,8
NA-130,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-131,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-132,22,63,0,0,0,0,0,0,0,0,0,0,0,8
NA-133,40,50,0,0,0,0,0,0,0,0,0,0,0,10
NA-134,32,47,0,0,0,0,0,0,0,0,0,0,0,21
NA-135,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-136,41,45,0,0,0,0,0,0,0,0,0,0,0,14
NA-137,25,35,0,0,0,0,0,0,0,0,0,0,0,40
NA-138,36,56,0,0,0,0,0,0,0,0,0,0,0,8
NA-139,57,37,0,0,0,0,0,0,0,0,0,0,0,7
NA-140,37,40,0,0,0,0,0,0,0,0,0,0,0,23
NA-141,27,24,0,0,0,0,0,0,27,0,0,0,0,0
NA-142,26,72,0,0,0,0,0,0,0,0,0,0,0,2
NA-143,31,62,0,0,0,0,0,0,0,0,0,0,0,7
NA-144,0,55,0,0,0,0,0,0,36,0,0,0,0,9
NA-145,38,45,0,0,0,0,0,0,0,0,0,0,0,22
NA-146,39,41,0,0,0,0,0,0,0,0,0,0,0,20
NA-147,40,45,0,0,0,0,0,0,0,0,0,0,0,15
NA-148,36,40,0,0,0,0,0,0,0,0,0,0,0,24
NA-149,55,35,0,0,0,0,0,0,0,0,0,0,0,10
NA-150,47,10,0,0,0,0,0,0,41,0,0,0,0,2
NA-151,39,41,0,0,0,0,0,0,0,0,0,0,0,20
NA-152,43,48,0,0,0,0,0,0,0,0,0,0,0,9
NA-153,42,46,0,0,0,0,0,0,0,0,0,0,0,12
NA-154,30,15,17,0,0,0,0,0,38,0,0,0,0,0
NA-155,56,40,0,0,0,0,0,0,0,0,0,0,0,4
NA-156,57,40,0,0,0,0,0,0,0,0,0,0,0,3
NA-157,35,24,20,0,0,0,0,0,0,0,0,0,0,21
NA-158,38,45,17,0,0,0,0,0,0,0,0,0,0,0
NA-159,46,43,0,0,0,0,0,0,0,0,0,0,0,11
NA-160,40,57,0,0,0,0,0,0,0,0,0,0,0,3
NA-161,45,46,0,0,0,0,0,0,0,0,0,0,0,9
NA-162,26,32,0,0,0,0,0,0,24,0,0,0,0,18
NA-163,42,39,0,0,0,0,0,0,0,0,0,0,0,19
NA-164,35,55,0,0,0,0,0,0,0,0,0,0,0,10
NA-165,46,45,0,0,0,0,0,0,0,0,0,0,0,9
NA-166,42,0,32,0,0,0,0,0,0,0,0,0,0,26
NA-167,38,38,0,0,0,0,0,0,0,0,0,0,0,24
NA-168,52,45,0,0,0,0,0,0,0,0,0,0,0,3
NA-169,0,40,0,0,0,0,0,0,0,0,0,57,0,20
NA-170,43,50,0,0,0,0,0,0,0,0,0,0,0,7
NA-171,39,35,0,0,0,0,0,0,0,0,0,0,0,26
NA-172,0,35,0,0,0,39,0,0,0,0,0,0,0,26
NA-173,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-174,51,0,47,0,0,0,0,0,0,0,0,0,0,2
NA-175,38,32,0,0,0,0,0,0,0,0,0,0,0,25
NA-176,42,38,0,0,0,0,0,0,0,0,0,0,0,20
NA-177,57,40,0,0,0,0,0,0,0,0,0,0,0,3
NA-178,37,0,43,0,0,0,0,0,0,0,0,0,0,20
NA-179,53,26,0,0,0,0,0,0,0,0,0,0,0,21
NA-180,31,20,0,0,0,0,0,0,0,0,0,0,0,49
NA-181,38,0,0,0,0,0,0,0,40,0,0,0,0,32
NA-182,28,21,21,0,0,0,0,0,0,0,0,0,30,0
NA-183,43,0,28,0,0,0,0,0,0,0,0,0,0,29
NA-184,33,0,0,0,0,0,0,0,0,0,0,0,37,16
NA-185,40,0,0,0,0,0,0,0,39,0,0,0,0,21
NA-186,31,27,25,0,0,0,0,0,0,0,0,0,0,17
NA-187,39,35,0,0,0,0,0,0,0,0,0,0,0,26
NA-188,44,41,0,0,0,0,0,0,0,0,0,0,0,15
NA-189,41,41,0,0,0,0,0,0,0,0,0,0,0,18
NA-190,43,0,13,0,0,0,0,0,44,0,0,0,0,0
NA-191,71,18,0,0,0,0,0,0,0,0,0,0,0,11
NA-192,35,43,0,0,0,0,0,0,0,0,0,0,0,22
NA-193,49,0,0,0,0,0,0,0,37,0,0,0,0,14
NA-194,45,0,12,0,0,0,0,0,35,0,0,0,0,8
NA-195,41,42,0,0,0,0,0,0,0,0,0,0,0,17
